name,tipologia,wikidata_id,wikidata_label,birth_year,death_year,matched_as,match_status
Cassa nazionale di assistenza e previdenza tra gli scrittori italiani,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Castelli (amministrazione),Varia,,,,,,not_found
Castelli (impresa costruzioni edilizie),Varia,,,,,,not_found
Castelli Ariberto,Varia,,,,,,not_found
Castelli Lina,Varia,,,,,,not_found
Castelli Luccio Carlo,Varia,,,,,,not_found
Castelli Riccardi Teresa,Varia,,,,,,not_found
Castellini Sighele Emma,Varia,,,,,,not_found
Castiglioni Manlio,Amici,Q16575438,Manlio Castiglioni,1897,1968,Manlio Castiglioni [it],found
Cattaneo Giulio e Cecilia,Contatti letterari,,,,,,not_found
"Cavaliè, Alberto",Varia,,,,,,not_found
Cavallari Alberto,Contatti letterari,Q1219464,Alberto Cavallari,1927,1998,Alberto Cavallari [it],found
Cecchi Dario,Contatti letterari,Q3702576,Dario Cecchi,1918,1992,Dario Cecchi [it],found
Cecchi Emilio,Contatti letterari,Q708563,Emilio Cecchi,1884,1966,Emilio Cecchi [it],found
Ceretti,Varia,Q18442756,Ceretti,,,Ceretti [it],found_no_dates
Cermignani Armando,Contatti letterari,Q3622905,Armando Cermignani,1888,1957,Armando Cermignani [it],found
Ceronetti Guido,Contatti letterari,Q955088,Guido Ceronetti,1927,2018,Guido Ceronetti [it],found
Cerquetti Walter,Contatti letterari,,,,,,not_found
Cesati Alfredo,Amici,,,,,,not_found
Cesati Franco,Amici,Q112379236,Franco Cesati,1958,,Franco Cesati [en],found
Cesati Tina,Amici,,,,,,not_found
Chataignier Maddalena,Varia,,,,,,not_found
Chiappelli Zdekauer Maria,Contatti letterari,,,,,,not_found
Chiara Piero,Contatti letterari,Q176736,Piero Chiara,1913,1986,Piero Chiara [it],found
Chigusa Ken,Contatti letterari,Q11405807,Ken Chigusa,1930,2014,Ken Chigusa [en],found
Chirò Felice,Amici,,,,,,not_found
Chirò Vincenzo,Amici,,,,,,not_found
Ciattini Mario,Varia,Q109857762,Mario Ciattini,1912,1988,Mario Ciattini [it],found
Cibotto Giantonio,Contatti letterari,,,,,,not_found
Cicala Sergio,Varia,,,,,,not_found
Ciceri Carla,Varia,,,,,,not_found
Cima Giovanni Vincenzo,Contatti letterari,Q3768362,Giovanni Vincenzo Cima,1893,1968,Giovanni Vincenzo Cima [it],found
Cimatti A.,Varia,,,,,,not_found
Cinquetti,Varia,Q16265759,Cinquetti,,,Cinquetti [it],found_no_dates
Cioci Piero,Varia,,,,,,not_found
Circolo Filologico Milanese,"Istituzioni, associazioni ed enti pubblici",Q25399951,Circolo Filologico Milanese,,,Circolo Filologico Milanese [it],found_no_dates
Circolo Unione Taranto,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Cirella Adelchi,Varia,,,,,,not_found
Cirese Mario,Compagni di guerra e di prigionia,,,,,,not_found
Ciri Agostoni (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Cita Alberto,Varia,,,,,,not_found
Citati Pietro,Contatti letterari,Q1230469,Pietro Citati,1930,2022,Pietro Citati [it],found
Citelli Angelo,Contatti letterari,,,,,,not_found
Clerici Fabrizio,Varia,Q1390849,Fabrizio Clerici,1913,1993,Fabrizio Clerici [it],found
Clerici Franco,Varia,Q16557482,Franco Clerici,1897,1934,Franco Clerici [it],found
Cogenel,Varia,,,,,,not_found
Cognetti Lina,Varia,,,,,,not_found
Colacicchi Giovanni,Contatti letterari,Q6998865,Giovanni Colacicchi,1900,1992,Giovanni Colacicchi [it],found
Colombo Antonio,Varia,Q1871938,Antonio Colombo,1938,,Antonio Colombo [it],found
Colombo Carlo,Varia,Q3659206,Carlo Colombo,1869,1918,Carlo Colombo [it],found
Colombo Elisa,Varia,Q91234176,Elisa Colombo,,,Elisa Colombo [it],found_no_dates
Colombo Emilio,Varia,Q312058,Emilio Colombo,1920,2013,Emilio Colombo [it],found
Colombo Enrico,Varia,Q17598438,Enrico Colombo,1930,2012,Enrico Colombo [it],found
Colonna A.,Varia,,,,,,not_found
"Comando III Corpo d’Armata, Milano","Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Comando Littoriali del lavoro,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
"Comando Scuole del Corpo Reale Equipaggi Marittimi, Pola","Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Comisso Giovanni,Contatti letterari,Q51186,Giovanni Comisso,1895,1969,Giovanni Comisso [it],found
Comitato per gli Istituti di beneficenza della città di Viareggio,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Comité Bernois Section Italienne,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Comité de Genève,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Como Marina,Varia,Q107282233,Como Marina,,,Como Marina [en],found_no_dates
Compañia General de Fósforos,Ingegneria e divulgazione tecnica,,,,,,not_found
Comunità europea degli scrittori,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Conenna,Varia,Q37569111,Conenna,,,Conenna [it],found_no_dates
Congresso nazionale delle arti figurative,Varia,,,,,,not_found
Consociazione Turistica Italiana,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Consorzio grande bonificazione ferrarese,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Conti,Varia,Q407415,Conti,,,Conti [it],found_no_dates
Conti Primo,Contatti letterari,Q2478132,Primo Conti,1900,1988,Primo Conti [it],found
Conti Vincenzo,Amici,Q40327188,Vincenzo Conti,,1685,Vincenzo Conti [it],found
Contini Gianfranco,Amici,Q689563,Gianfranco Contini,1912,1990,Gianfranco Contini [it],found
Contini Riccardo,Varia,Q62559674,Riccardo Contini,1956,,Riccardo Contini [it],found
Convegno internazionale Leone Tolstoj,Varia,,,,,,not_found
Corbellini Adele,Varia,,,,,,not_found
Cornici Alfredo,Ingegneria e divulgazione tecnica,,,,,,not_found
Corpi Remo,Varia,,,,,,not_found
“Corriere della Sera”,"Editori, riviste e quotidiani",,,,,,not_found
“Corriere di Milano”,"Editori, riviste e quotidiani",,,,,,not_found
“(Il) Corriere Padano”,"Editori, riviste e quotidiani",,,,,,not_found
Corsini Gianfranco,Contatti letterari,Q3763052,Gianfranco Corsini,1921,2010,Gianfranco Corsini [it],found
Cortellini Elena,Varia,,,,,,not_found
Cossetti Bisagli Itala,Varia,,,,,,not_found
Costa G.,Contatti letterari,Q52804847,G. Costa,,,G. Costa [it],found_no_dates
Credito Italiano,Varia,Q596970,Credito Italiano,,,Credito Italiano [it],found_no_dates
Credito Piemontese,Varia,,,,,,not_found
Crespi Emilio,Varia,,,,,,not_found
Croce Oreste,Varia,,,,,,not_found
Cruciani Sandro,Varia,,,,,,not_found
Cucchi Clara,Familiari,,,,,,not_found
Cucchi Paolo,Familiari,,,,,,not_found
Cucchi Piero,Familiari,Q3903214,Piero Cucchi,1939,2026,Piero Cucchi [it],found
Cya (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
D'Alessandri Pia,Varia,,,,,,not_found
D'Alessio Carlo,Varia,Q107189464,Carlo D'Alessio,http://www.wikidata.org/.well,1968,Carlo D'Alessio [it],found
D’Adda Giovanni,Varia,,,,,,not_found
Dabalà Maria e Andrea,Varia,,,,,,not_found
Dal Fabbro Beniamino,Contatti letterari,Q3638186,Beniamino Dal Fabbro,1910,1989,Beniamino Dal Fabbro [it],found
Damiano Andrea,Contatti letterari,Q62284590,Andrea Damiano,1900,1963,Andrea Damiano [it],found
Debenedetti [?],Varia,,,,,,not_found
Debenedetti Giacomo,Contatti letterari,Q472856,Giacomo Debenedetti,1901,1967,Giacomo Debenedetti [it],found
Debenedetti Renata,Contatti letterari,Q16595448,Renata Debenedetti,1907,1998,Renata Debenedetti [it],found
De Giorgi Elsa,Contatti letterari,Q518000,Elsa De Giorgi,1914,1997,Elsa De Giorgi [it],found
De Grada Raffaele,Contatti letterari,Q3417334,Raffaele De Grada,,,Raffaele De Grada [it],found_no_dates
Dejcan Salvatore,Varia,,,,,,not_found
De Kümmerlin Luigi,Ingegneria e divulgazione tecnica,,,,,,not_found
De Libero Libero,Contatti letterari,Q52800322,Libero De Libero,,,Libero De Libero [it],found_no_dates
Della Porta Franco,Varia,,,,,,not_found
Dell'Arco Mario,Contatti letterari,,,,,,not_found
Dell'Arco Maurizio e Fagiolo Elisa,Contatti letterari,,,,,,not_found
Dellarole Guido,Compagni di guerra e di prigionia,,,,,,not_found
Dell’Oro Dondena Lina,Varia,,,,,,not_found
Dell’Oro Emilio,Varia,,,,,,not_found
"Dell'Oro, famiglia",Varia,,,,,,not_found
Dell’Oro Tina,Varia,,,,,,not_found
Dell’Orto Luigi,Compagni di guerra e di prigionia,,,,,,not_found
Del Tredici Giulio,Varia,Q28058629,Giulio Del Tredici,1933,1994,Giulio Del Tredici [it],found
De Marchi A.,Varia,,,,,,not_found
De Matteis Carlo,Varia,Q21542830,Carlo De Matteis,1972,,Carlo De Matteis [it],found
De Pisis Filippo,Contatti letterari,Q661473,Filippo De Pisis,1896,1956,Filippo De Pisis [en],found
De Robertis Giuseppe,Contatti letterari,Q3770444,Giuseppe De Robertis,1888,1963,Giuseppe De Robertis [it],found
De Rosa Andrea,Varia,Q3615666,Andrea De Rosa,,,Andrea De Rosa [it],found_no_dates
Descalzo Giovanni,Contatti letterari,Q2648643,Giovanni Descalzo,1280,1349,Giovanni Descalzo [it],found
De Tavonati Luigi,Varia,,,,,,not_found
De Tavonati Wragovitz Marsura Olga,Varia,,,,,,not_found
Dettori Ugo,Contatti letterari,,,,,,not_found
Devoto Giacomo,Contatti letterari,Q964032,Giacomo Devoto,1897,1974,Giacomo Devoto [it],found
Didoni Domenica,Varia,,,,,,not_found
Die Tat,"Editori, riviste e quotidiani",Q878603,Die Tat,,,Die Tat [en],found_no_dates
Dini Camilla,Varia,,,,,,not_found
Dini Giorgio,Varia,Q114412649,Giorgio Dini,,,Giorgio Dini [en],found_no_dates
Doering Maria,Varia,Q104446865,Maria Doering,1877,1944,Maria Doering [en],found
Dolcetta,Varia,Q100521377,Dolcetta,,,Dolcetta [it],found_no_dates
Dopolavoro della Reale Accademia d'Italia,Varia,,,,,,not_found
Dosi Delfini Giancarlo,Amici,,,,,,not_found
Dosi Lalatta Pellina,Amici,,,,,,not_found
Dringoli Dino,Varia,,,,,,not_found
Drisaldi Marocco Rina,Varia,,,,,,not_found
Drucker Gabriella,Varia,,,,,,not_found
Dubini Antonio e Carla,Amici,,,,,,not_found
Du Seuil Editions,"Editori, riviste e quotidiani",,,,,,not_found
Eckstein Percy,Contatti letterari,Q1245476,Percy Eckstein,1899,1962,Percy Eckstein [it],found
Ederli Giulio,Compagni di guerra e di prigionia,,,,,,not_found
Einaudi (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Einaudi Giulio,Contatti letterari,Q1264337,Giulio Einaudi,1912,1999,Giulio Einaudi [it],found
Electa (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Emanuelli Enrico,Contatti letterari,Q3054633,Enrico Emanuelli,1909,1967,Enrico Emanuelli [it],found
"Emerenziana, suora",Varia,,,,,,not_found
“Emilia”,Varia,,,,,,not_found
Ente Italiano per le Audizioni Radiofoniche,"Istituzioni, associazioni ed enti pubblici",Q3726207,Ente Italiano per le Audizioni Radiofoniche,,,Ente Italiano per le Audizioni Radiofoniche [it],found_no_dates
Ente Radiofonico Italiano (E.R.I.),"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
“Epoca”,"Editori, riviste e quotidiani",,,,,,not_found
Errante Vincenzo,Contatti letterari,Q4013244,Vincenzo Errante,,,Vincenzo Errante [it],found_no_dates
Evagrio Ermanno,Varia,,,,,,not_found
Evagrio Margherita,Varia,,,,,,not_found
Evagrio Vittorio,Varia,,,,,,not_found
Fabi Renato,Varia,,,,,,not_found
Fabre Agostino,Contatti letterari,,,,,,not_found
Fabrello Maria Pia,Varia,,,,,,not_found
Faccioli G.,Varia,,,,,,not_found
Fadin Sergio,Varia,,,,,,not_found
Fadini Sergio,Varia,,,,,,not_found
Fallani Bruno,Contatti letterari,,,,,,not_found
Falqui Enrico,Contatti letterari,Q3725753,Enrico Falqui,,,Enrico Falqui [it],found_no_dates
